"(39.63, -105.036)",9
"(39.63, -105.035)",6
"(39.63, -105.034)",10
"(39.63, -105.033)",9
"(39.63, -105.032)",11
"(39.63, -105.031)",5
"(39.63, -105.03)",6
"(39.63, -105.029)",9
"(39.63, -105.028)",7
"(39.63, -105.027)",9
"(39.63, -105.026)",9
"(39.63, -104.913)",46
"(39.63, -104.912)",58
"(39.63, -104.911)",1
"(39.63, -104.91)",3
"(39.63, -104.909)",3
"(39.63, -104.908)",1
"(39.63, -104.907)",1
"(39.63, -104.904)",41
"(39.63, -104.903)",87
"(39.63, -104.902)",3
"(39.63, -104.901)",81
"(39.63, -104.9)",23
"(39.63, -104.898)",1
"(39.63, -104.897)",1
"(39.63, -104.896)",1
"(39.63, -104.894)",36
"(39.63, -104.893)",14
"(39.63, -104.892)",2
"(39.63, -104.89)",2
"(39.63, -104.889)",7
"(39.63, -104.888)",8
"(39.63, -104.887)",10
"(39.63, -104.886)",10
"(39.631, -105.109)",13
"(39.631, -105.108)",7
"(39.631, -105.107)",8
"(39.631, -105.106)",6
"(39.631, -105.105)",2
"(39.631, -105.104)",1
"(39.631, -105.103)",3
"(39.631, -105.102)",7
"(39.631, -105.101)",8
"(39.631, -105.1)",8
"(39.631, -105.099)",7
"(39.631, -105.098)",10
"(39.631, -105.097)",9
"(39.631, -105.096)",7
"(39.631, -105.095)",13
"(39.631, -105.094)",13
"(39.631, -105.093)",17
"(39.631, -105.092)",17
"(39.631, -105.091)",14
"(39.631, -105.09)",1
"(39.631, -105.087)",2
"(39.631, -105.086)",5
"(39.631, -105.085)",19
"(39.631, -105.084)",15
"(39.631, -105.044)",3
"(39.631, -105.043)",7
"(39.631, -105.042)",8
"(39.631, -105.041)",7
"(39.631, -105.04)",8
"(39.631, -105.039)",6
"(39.631, -105.038)",8
"(39.631, -105.037)",8
"(39.631, -105.036)",7
"(39.631, -105.035)",6
"(39.631, -105.034)",8
"(39.631, -105.033)",8
"(39.631, -105.032)",6
"(39.631, -105.031)",8
"(39.631, -105.03)",8
"(39.631, -105.029)",5
